Tweet Text,Sentiment Score,Sentiment Label,Negative Keywords,Cleaned Tweet Text,Emoji Count,Hashtags Count,Profanity Count
"""You are amazing!""",0.8,Positive,-,"""amazing""",2,1,0
"""I hate everyone here!""",-0.9,Negative,"""hate""","""hate everyone here""",0,0,2
"""This is not great work!""",-0.5,Negative,"""not, great""","""not great work""",1,1,1
"""I love this weather!""",0.6,Positive,-,"""love weather""",3,2,0
"""Why are people so rude?""",-0.7,Negative,"""rude""","""people rude""",1,1,1
"""Such an amazing day!""",0.9,Positive,-,"""amazing day""",4,1,0
"""This day has been absolutely horrible!""",-0.8,Negative,"""horrible""","""day absolutely horrible""",0,0,1
"""I love the energy in this room!""",0.9,Positive,-,"""love energy room""",1,0,0
"""What an awful performance, truly pathetic""",-0.9,Negative,"""awful, pathetic""","""awful performance pathetic""",0,0,2
"""The food was great, we had an amazing time""",0.8,Positive,-,"""food great amazing time""",0,0,0
"""Not the best service, but it was okay.""",-0.3,Negative,"""not, best""","""not best service okay""",0,0,0
"""This project is going nowhere!""",-0.7,Negative,"""nowhere""","""project going nowhere""",0,0,0
"""You?e doing an awesome job!""",0.9,Positive,-,"""awesome job""",1,0,0
"""Why does this always happen to me?""",-0.6,Negative,"""always happen""","""always happen me""",0,0,0
"""Just finished a wonderful meal!""",0.8,Positive,-,"""finished wonderful meal""",1,0,0
"""This is unacceptable behavior!""",-0.8,Negative,"""unacceptable, behavior""","""unacceptable behavior""",0,0,1
"""Feeling blessed to see another day! ??""",0.9,Positive,-,"""feeling blessed another day""",1,1,0
"""This app is so buggy and useless!""",-0.9,Negative,"""buggy, useless""","""app buggy useless""",0,0,1
"""What a fantastic event, truly memorable!""",0.8,Positive,-,"""fantastic event memorable""",1,0,0
"""I? so angry, I can? even think straight!""",-0.9,Negative,"""angry""","""angry think straight""",1,0,1
"""The view from here is breathtaking!""",0.9,Positive,-,"""view breathtaking""",0,0,0
"""This doesn? make any sense.""",-0.5,Negative,"""doesn?, sense""","""doesn? make sense""",0,0,0
"""Life is beautiful and full of surprises.""",0.9,Positive,-,"""life beautiful full surprises""",0,0,0
"""I can? believe how terrible this is!""",-0.8,Negative,"""terrible""","""can? believe terrible""",0,0,1
"""You have outdone yourself, bravo!""",0.8,Positive,-,"""outdone yourself bravo""",1,0,0
"""This policy is just plain stupid.""",-0.8,Negative,"""stupid""","""policy plain stupid""",0,0,1
"""Best experience ever, highly recommend!""",0.9,Positive,-,"""best experience recommend""",0,1,0
"""Can someone fix this mess already?""",-0.7,Negative,"""fix, mess""","""fix mess already""",0,0,0
"""So grateful for this opportunity!""",0.9,Positive,-,"""grateful opportunity""",0,0,0
"""This is the worst product I?e ever used.""",-0.9,Negative,"""worst""","""worst product used""",0,0,1
"""A day full of joy and laughter! ??""",0.9,Positive,-,"""day joy laughter""",1,1,
"""Absolutely love the way this turned out!""",0.8,Positive,-,"""absolutely love turned out""",2,0,0
"""I can? stand this anymore, so frustrating.""",-0.8,Negative,"""stand, frustrating""","""can? stand frustrating""",0,0,1
"""What a mediocre performance.""",-0.4,Negative,"""mediocre""","""mediocre performance""",0,0,0
"""This is such an exciting opportunity!""",0.9,Positive,-,"""exciting opportunity""",0,0,0
"""I? really disappointed with this service.""",-0.7,Negative,"""disappointed""","""disappointed service""",0,0,1
"""Finally some good news today!""",0.8,Positive,-,"""finally good news today""",0,1,0
"""This place is an absolute disaster!""",-0.9,Negative,"""disaster""","""place absolute disaster""",0,0,1
"""I? so grateful to have experienced this.""",0.9,Positive,-,"""grateful experienced this""",0,0,0
"""Why is this so complicated?!""",-0.7,Negative,"""complicated""","""complicated""",0,0,0
"""Had a fantastic weekend with friends! ??""",0.9,Positive,-,"""fantastic weekend friends""",1,1,0
"""I hate being stuck in traffic every day!""",-0.9,Negative,"""hate, stuck""","""hate stuck traffic""",0,0,1
"""This is beyond ridiculous.""",-0.8,Negative,"""ridiculous""","""beyond ridiculous""",0,0,1
"""Wow, such a beautiful sunset!""",0.8,Positive,-,"""beautiful sunset""",0,1,0
"""Terrible customer service, never again.""",-0.9,Negative,"""terrible""","""terrible customer service""",0,0,1
"""Today is a good day to start fresh.""",0.7,Positive,-,"""today good day start fresh""",0,0,0
"""Why are people so inconsiderate sometimes?""",-0.6,Negative,"""inconsiderate""","""people inconsiderate sometimes""",0,0,0
"""Can? believe how amazing this is!""",0.9,Positive,-,"""believe amazing this""",0,0,0
"""Feeling so blessed right now.""",0.8,Positive,-,"""feeling blessed right now""",0,0,0
"""This is the worst experience of my life.""",-0.9,Negative,"""worst""","""worst experience life""",0,0,1
"""Great vibes all around!""",0.8,Positive,-,"""great vibes all around""",0,0,0
"""This isn? working at all, what a mess.""",-0.8,Negative,"""isn?, mess""","""isn? working mess""",0,0,0
"""Life has its ups and downs, but it? okay.""",0.2,Neutral,"""downs""","""life ups downs okay""",0,0,0
"""Such an inspiring story to hear.""",0.9,Positive,-,"""inspiring story hear""",0,0,0
"""I? so sick of all this nonsense.""",-0.8,Negative,"""sick, nonsense""","""sick nonsense""",0,0,1
"""A wonderful way to end the day.""",0.8,Positive,-,"""wonderful end day""",0,0,0
"""Why is this even happening? I don? get it.""",-0.7,Negative,"""happening, don?""","""happening don? get it""",0,0,0
"""A truly magical experience.""",0.9,Positive,-,"""truly magical experience""",0,0,0
"""This whole system is broken and useless.""",-0.9,Negative,"""broken, useless""","""system broken useless""",0,0,1
"""Love the effort everyone is putting in!""",0.9,Positive,-,"""love effort everyone putting""",0,0,0
"""I? beyond annoyed at this point.""",-0.8,Negative,"""annoyed""","""beyond annoyed point""",0,0,1
"""This day couldn? get any worse.""",-0.9,Negative,"""worse""","""day couldn? worse""",0,0,1
"""I? on top of the world right now!""",0.9,Positive,-,"""top world right now""",1,0,0
"""The food here is absolutely disgusting.""",-0.8,Negative,"""disgusting""","""food absolutely disgusting""",0,0,1
"""Had an amazing time with my family today.""",0.8,Positive,-,"""amazing time family today""",0,0,0
"""This is just so unfair, I can? deal.""",-0.7,Negative,"""unfair, deal""","""unfair can? deal""",0,0,0
"""Feeling so lucky to be alive right now.""",0.8,Positive,-,"""feeling lucky alive now""",0,0,0
"""I don? recommend this place to anyone.""",-0.8,Negative,"""don?, recommend""","""don? recommend place anyone""",0,0,1
"""What an inspiring story, I? so touched.""",0.9,Positive,-,"""inspiring story touched""",0,0,0
"""I?e never felt this tired in my life.""",-0.6,Negative,"""tired""","""never felt tired life""",0,0,0
"""Enjoyed every moment of this adventure!""",0.9,Positive,-,"""enjoyed moment adventure""",1,1,0
"""Why does everything always go wrong?""",-0.8,Negative,"""wrong""","""everything always wrong""",0,0,0
"""The view from here is absolutely stunning.""",0.8,Positive,-,"""view absolutely stunning""",0,1,0
"""This is not acceptable in any way.""",-0.8,Negative,"""not, acceptable""","""not acceptable any way""",0,0,1
"""A beautiful day to relax and enjoy.""",0.8,Positive,-,"""beautiful day relax enjoy""",0,0,0
"""I?e had enough of this nonsense.""",-0.8,Negative,"""enough, nonsense""","""had enough nonsense""",0,0,1
"""So proud of what I accomplished today!""",0.9,Positive,-,"""proud accomplished today""",0,0,0
